application_id,user_id,program_id,application_date,motivation_score,cv_score,technical_score,diversity_score,preferred_program_track,preferred_timeslot,selected,waitlisted,final_status,role,country,timezone,gender,education_level,field_of_study,years_experience,prior_neuromatch,preferred_language,interest_area,availability_slot,program_name,year,start_date,end_date,num_students,num_tas,region_focus,curriculum_hours_per_day,project_hours_per_day,total_hours_per_day,days_per_week,delivery_mode,num_timeslots,total_days,attended_curriculum_days,attended_project_days,total_curriculum_hours,total_project_hours,total_zoom_minutes,assignments_completed_total,forum_messages_total,help_requests_total,attendance_rate_curriculum,attendance_rate_project,avg_zoom_minutes_per_day,avg_forum_messages_per_day,avg_help_requests_per_day,post_score,pre_score,mid_score,learning_gain,avg_satisfaction,avg_difficulty,avg_content_quality,avg_ta_support,survey_response_count,dropout_day,reason,dropped_out,support_ticket_count,avg_support_response_time,avg_support_satisfaction,completion_status,engagement_score,survey_response_rate
A000189,U00219,P005,2026-03-01,58.89464402992318,62.17698144191415,94.72617642707742,71,Research,Slot 4,1,0,accepted,student,Brazil,UTC-3,Female,UG,AI,7,1,French,NLP,Slot 4,Computational Neuroscience,2026,2026-06-22,2026-07-24,373,17,global,4.5,3,8,5,virtual,5,20,14,14,69.91,43.730000000000004,3623,14,109,25,0.7,0.7,181.15,5.45,1.25,85.0,57.0,,28.0,4.0,2.0,4.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000192,U00224,P006,2026-03-01,63.70211889941741,55.8431416643531,94.42417983451278,84,Research,Slot 2,1,0,accepted,student,India,UTC+5:30,Non-binary,Masters,AI,9,0,Hindi,CV,Slot 2,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,16,16,66.45,38.72,3280,16,107,22,0.8,0.8,164.0,5.35,1.1,58.0,51.0,,7.0,5.0,5.0,3.0,5.0,1,,,0,1.0,12.73,5.0,1,1.0,0.3333333333333333
A000199,U00231,P003,2026-03-01,55.39224986268347,42.30437618834876,100.0,81,Research,Slot 2,1,0,accepted,student,Kenya,UTC+3,Female,PhD,AI,8,0,Hindi,Neural Coding,Slot 2,Computational Tools for Climate Science,2025,2025-06-22,2025-07-24,262,22,global,4.5,3,8,5,virtual,5,20,18,18,65.58,38.87,3377,18,96,23,0.9,0.9,168.85,4.8,1.15,82.0,56.0,,26.0,4.0,4.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000200,U00232,P004,2026-03-01,69.64415005616203,53.62542570136439,80.47302674776974,55,Research,Slot 5,1,0,accepted,student,Japan,UTC+9,Female,UG,Climate,5,0,English,RL,Slot 5,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,13,13,66.67,35.86,3881,13,104,35,0.65,0.65,194.05,5.2,1.75,69.0,51.0,,18.0,5.0,2.0,3.0,3.0,1,,,0,,,,0,1.0,0.3333333333333333
A000204,U00236,P004,2026-03-01,57.60407675346291,50.08763484885368,87.86482064644474,71,Research,Slot 5,1,0,accepted,student,India,UTC+5:30,Male,UG,Neuro,5,0,Spanish,CV,Slot 5,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,16,16,62.87,41.56,3404,16,117,41,0.8,0.8,170.2,5.85,2.05,93.0,69.0,,24.0,3.0,2.0,3.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000209,U00241,P006,2026-03-01,58.27263174832996,53.6709584173386,87.81918788126312,74,Research,Slot 1,1,0,accepted,student,UK,UTC+0,Male,PhD,CS,7,0,Hindi,RL,Slot 1,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,16,16,66.67,37.27,4029,16,84,27,0.8,0.8,201.45,4.2,1.35,57.0,41.0,,16.0,5.0,3.0,5.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000212,U00245,P001,2026-03-01,74.14295106004421,58.62910742958214,76.6535191762353,45,Research,Slot 2,1,0,accepted,student,Brazil,UTC-3,Male,UG,Climate,2,1,English,NLP,Slot 2,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,16,16,64.29,40.79,4272,16,105,28,0.8,0.8,213.6,5.25,1.4,66.0,60.0,,6.0,5.0,4.0,5.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000213,U00246,P008,2026-03-01,50.37348988081024,56.92769031848861,100.0,77,Research,Slot 4,1,0,accepted,student,India,UTC+5:30,Male,UG,Neuro,9,0,French,Climate,Slot 4,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,15,15,66.29,36.3,3709,15,96,33,0.75,0.75,185.45,4.8,1.65,84.0,61.0,,23.0,5.0,2.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000217,U00251,P006,2026-03-01,69.59440532083089,62.85385279014271,80.03985442850573,76,Research,Slot 3,1,0,accepted,student,Brazil,UTC-3,Non-binary,Masters,Neuro,9,0,English,Neural Coding,Slot 3,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,13,13,69.18,41.4,3893,13,74,19,0.65,0.65,194.65,3.7,0.95,67.0,52.0,,15.0,5.0,5.0,4.0,3.0,1,,,0,,,,0,1.0,0.3333333333333333
A000220,U00254,P002,2026-03-01,83.88371992870438,61.84256645196173,75.21421332327012,87,Research,Slot 2,1,0,accepted,student,USA,UTC-5,Non-binary,PhD,Climate,8,0,French,Climate,Slot 2,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,16,16,65.41,41.96,3150,16,95,27,0.8,0.8,157.5,4.75,1.35,81.0,52.0,,29.0,3.0,3.0,3.0,3.0,1,11.0,difficulty,1,,,,1,1.0,0.3333333333333333
A000221,U00255,P002,2026-03-01,61.11799158203388,60.07157200596669,87.22826894985512,54,Research,Slot 1,1,0,accepted,student,India,UTC+5:30,Male,PhD,Climate,6,0,English,CV,Slot 1,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,15,15,59.01,43.71,3695,15,110,34,0.75,0.75,184.75,5.5,1.7,79.0,57.0,,22.0,4.0,4.0,5.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000223,U00259,P006,2026-03-01,61.1485239956271,54.918732124419854,86.31810161215424,45,Research,Slot 4,1,0,accepted,student,Germany,UTC+1,Male,UG,AI,5,0,Hindi,Climate,Slot 4,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,16,16,62.42,41.32,3594,16,71,45,0.8,0.8,179.7,3.55,2.25,74.0,64.0,,10.0,4.0,5.0,5.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000232,U00270,P007,2026-03-01,56.61401603385012,52.34915247519441,99.18648020816906,48,Research,Slot 3,1,0,accepted,student,UK,UTC+0,Non-binary,UG,Neuro,9,0,French,Neural Coding,Slot 3,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,18,18,65.94,38.269999999999996,3966,18,104,35,0.9,0.9,198.3,5.2,1.75,72.0,52.0,,20.0,5.0,5.0,4.0,4.0,1,13.0,low_engagement,1,,,,1,1.0,0.3333333333333333
A000236,U00275,P004,2026-03-01,73.2469870497305,48.44392071687059,94.07822500017596,63,Research,Slot 4,1,0,accepted,student,Kenya,UTC+3,Non-binary,Masters,Climate,9,0,Spanish,Time Series,Slot 4,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,16,16,66.54,44.47,3504,16,88,34,0.8,0.8,175.2,4.4,1.7,66.0,45.0,,21.0,5.0,5.0,3.0,5.0,1,10.0,difficulty,1,,,,1,1.0,0.3333333333333333
A000238,U00277,P004,2026-03-01,59.86538545414348,58.646371839029605,86.14475959795496,48,Research,Slot 3,1,0,accepted,student,Japan,UTC+9,Female,UG,Neuro,7,0,Spanish,NLP,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,16,16,67.22,41.56,3667,16,82,28,0.8,0.8,183.35,4.1,1.4,46.0,41.0,,5.0,3.0,3.0,3.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000242,U00282,P001,2026-03-01,33.75182943625888,75.49009708717722,89.70533036492992,75,Research,Slot 2,1,0,accepted,student,Japan,UTC+9,Male,UG,Climate,9,1,Hindi,CV,Slot 2,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,15,15,65.9,43.96,3313,15,79,33,0.75,0.75,165.65,3.95,1.65,64.0,55.0,,9.0,5.0,3.0,3.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000243,U00283,P002,2026-03-01,77.87420855466428,39.67655161622391,85.42570341379033,66,Research,Slot 4,1,0,accepted,student,UK,UTC+0,Male,UG,Neuro,7,0,Hindi,Climate,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,15,15,62.78,38.92,4064,15,125,24,0.75,0.75,203.2,6.25,1.2,82.0,62.0,,20.0,4.0,3.0,3.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000246,U00287,P007,2026-03-01,68.68663042355715,33.166553054271674,100.0,54,Research,Slot 4,1,0,accepted,student,Japan,UTC+9,Non-binary,Masters,CS,9,0,Spanish,Neural Coding,Slot 4,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,16,16,63.39,38.98,3156,16,77,27,0.8,0.8,157.8,3.85,1.35,50.0,45.0,,5.0,5.0,5.0,4.0,3.0,1,2.0,difficulty,1,,,,1,1.0,0.3333333333333333
A000249,U00293,P004,2026-03-01,66.03790520277894,46.08123234613134,100.0,48,Research,Slot 1,1,0,accepted,student,UK,UTC+0,Non-binary,UG,Climate,9,1,French,Time Series,Slot 1,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,16,16,65.19,40.94,3805,16,100,32,0.8,0.8,190.25,5.0,1.6,88.0,63.0,,25.0,4.0,5.0,3.0,5.0,1,12.0,time_constraint,1,,,,1,1.0,0.3333333333333333
A000250,U00294,P004,2026-03-01,72.64468490678105,46.17509841087155,79.82235690923046,47,Research,Slot 4,1,0,accepted,student,Japan,UTC+9,Female,PhD,AI,8,0,English,Climate,Slot 4,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,19,19,69.55,38.69,3811,19,114,29,0.95,0.95,190.55,5.7,1.45,65.0,57.0,,8.0,5.0,3.0,3.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000255,U00301,P001,2026-03-01,64.7135249082773,46.32682353331482,89.69548066889097,86,Research,Slot 2,1,0,accepted,student,Kenya,UTC+3,Non-binary,Masters,AI,6,1,French,NLP,Slot 2,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,18,18,67.95,41.9,3749,18,108,26,0.9,0.9,187.45,5.4,1.3,87.0,61.0,,26.0,3.0,5.0,4.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000257,U00303,P008,2026-03-01,58.26064928379572,63.98530274707163,97.35292514850424,84,Research,Slot 3,1,0,accepted,student,Canada,UTC-5,Female,Masters,AI,7,0,French,Neural Coding,Slot 3,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,13,13,71.95,42.06,3536,13,132,27,0.65,0.65,176.8,6.6,1.35,84.0,70.0,,14.0,5.0,5.0,5.0,3.0,1,,,0,,,,0,1.0,0.3333333333333333
A000258,U00304,P002,2026-03-01,50.82844508628952,56.69808098009338,95.96849794605842,67,Research,Slot 2,1,0,accepted,student,USA,UTC-5,Female,Masters,Neuro,6,0,Hindi,CV,Slot 2,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,15,15,59.92,41.11,3313,15,112,20,0.75,0.75,165.65,5.6,1.0,63.0,54.0,,9.0,4.0,3.0,4.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000260,U00306,P005,2026-03-01,50.804775338605495,64.49156603396452,88.09047443032654,43,Research,Slot 1,1,0,accepted,student,Germany,UTC+1,Male,UG,AI,7,0,Spanish,Neural Coding,Slot 1,Computational Neuroscience,2026,2026-06-22,2026-07-24,373,17,global,4.5,3,8,5,virtual,5,20,15,15,70.06,39.83,3502,15,94,24,0.75,0.75,175.1,4.7,1.2,71.0,60.0,,11.0,5.0,2.0,4.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000261,U00307,P004,2026-03-01,88.43947396525681,60.87102362015743,61.696317061856206,84,Research,Slot 2,1,0,accepted,student,Canada,UTC-5,Female,PhD,Climate,2,0,English,Time Series,Slot 2,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,14,14,68.92,40.04,3639,14,104,37,0.7,0.7,181.95,5.2,1.85,65.0,54.0,,11.0,4.0,4.0,3.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000265,U00312,P005,2026-03-01,55.22171622625931,52.89012455532339,94.65576384364712,44,Research,Slot 4,1,0,accepted,student,Kenya,UTC+3,Non-binary,PhD,CS,6,1,French,NLP,Slot 4,Computational Neuroscience,2026,2026-06-22,2026-07-24,373,17,global,4.5,3,8,5,virtual,5,20,16,16,68.01,36.13,3965,16,129,35,0.8,0.8,198.25,6.45,1.75,69.0,51.0,,18.0,3.0,3.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000266,U00313,P001,2026-03-01,76.82262344257057,42.69937780746851,87.01957491632326,70,Research,Slot 1,1,0,accepted,student,Japan,UTC+9,Male,PhD,Climate,6,0,French,CV,Slot 1,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,17,17,66.1,40.79,3304,17,121,41,0.85,0.85,165.2,6.05,2.05,54.0,49.0,,5.0,3.0,3.0,5.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000267,U00314,P008,2026-03-01,74.9093682720173,55.882064070400745,77.12395265819197,78,Research,Slot 2,1,0,accepted,student,UK,UTC+0,Male,PhD,Climate,6,0,French,Time Series,Slot 2,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,16,16,68.01,38.94,3033,16,85,30,0.8,0.8,151.65,4.25,1.5,75.0,54.0,,21.0,4.0,3.0,5.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000270,U00317,P004,2026-03-01,65.3334555913958,40.84793587696577,94.6594308547224,49,Research,Slot 3,1,0,accepted,student,Brazil,UTC-3,Male,Masters,Neuro,7,0,Spanish,Neural Coding,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,12,12,63.17,41.62,3337,12,104,41,0.6,0.6,166.85,5.2,2.05,75.0,47.0,,28.0,5.0,5.0,4.0,3.0,1,,,0,,,,0,1.0,0.3333333333333333
A000276,U00324,P008,2026-03-01,73.03064980332442,44.83393814726438,97.89183673118724,40,Research,Slot 1,1,0,accepted,student,USA,UTC-5,Non-binary,Masters,Neuro,9,1,English,Climate,Slot 1,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,17,17,61.35,40.269999999999996,3353,17,79,38,0.85,0.85,167.65,3.95,1.9,90.0,63.0,,27.0,3.0,5.0,5.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000278,U00326,P001,2026-03-01,69.56295002091346,73.24673305852818,90.22146758548048,66,Research,Slot 5,1,0,accepted,student,Japan,UTC+9,Male,PhD,AI,5,0,Hindi,Neural Coding,Slot 5,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,18,18,72.42,42.94,4057,18,67,23,0.9,0.9,202.85,3.35,1.15,69.0,64.0,,5.0,4.0,4.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000282,U00331,P005,2026-03-01,66.5669425966443,63.6586533518599,95.01685045168789,70,Research,Slot 4,1,0,accepted,student,Canada,UTC-5,Male,UG,Climate,8,0,French,RL,Slot 4,Computational Neuroscience,2026,2026-06-22,2026-07-24,373,17,global,4.5,3,8,5,virtual,5,20,12,12,70.65,41.7,3320,12,112,41,0.6,0.6,166.0,5.6,2.05,92.0,70.0,,22.0,5.0,4.0,3.0,3.0,1,,,0,,,,0,1.0,0.3333333333333333
A000283,U00332,P002,2026-03-01,56.659118412246656,56.45037855448997,100.0,87,Research,Slot 2,1,0,accepted,student,Canada,UTC-5,Female,UG,AI,6,0,French,Neural Coding,Slot 2,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,16,16,61.989999999999995,42.82,3258,16,121,32,0.8,0.8,162.9,6.05,1.6,53.0,47.0,,6.0,4.0,3.0,5.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000287,U00337,P004,2026-03-01,64.26103130983397,50.40614086965533,95.20501883076976,84,Research,Slot 1,1,0,accepted,student,USA,UTC-5,Non-binary,UG,Climate,8,0,English,CV,Slot 1,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,13,13,65.91,43.26,3041,13,121,32,0.65,0.65,152.05,6.05,1.6,81.0,64.0,,17.0,4.0,4.0,4.0,5.0,1,,,0,,,,0,1.0,0.3333333333333333
A000289,U00339,P006,2026-03-01,64.4786332759928,46.61125054551015,92.52374209533606,70,Research,Slot 3,1,0,accepted,student,Kenya,UTC+3,Male,PhD,Neuro,8,0,French,CV,Slot 3,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,16,16,63.3,41.29,3969,16,100,29,0.8,0.8,198.45,5.0,1.45,78.0,59.0,,19.0,5.0,4.0,3.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000299,U00349,P006,2026-03-01,68.27236107657423,61.59839966388344,73.81713531732547,47,Research,Slot 5,1,0,accepted,student,Germany,UTC+1,Non-binary,UG,Climate,0,0,Spanish,Time Series,Slot 5,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,19,19,66.33,40.27,3470,19,93,33,0.95,0.95,173.5,4.65,1.65,91.0,70.0,,21.0,5.0,5.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000301,U00351,P008,2026-03-01,80.15530261362825,59.63451222285541,58.5481337466012,43,Research,Slot 1,1,0,accepted,student,UK,UTC+0,Female,Masters,Neuro,1,0,Hindi,RL,Slot 1,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,17,17,64.81,41.55,3685,17,91,25,0.85,0.85,184.25,4.55,1.25,88.0,64.0,,24.0,5.0,5.0,5.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000302,U00352,P006,2026-03-01,73.2075012782616,51.69375051271612,100.0,81,Research,Slot 1,1,0,accepted,student,Japan,UTC+9,Female,UG,Neuro,8,0,French,RL,Slot 1,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,12,12,66.06,40.980000000000004,3299,12,89,33,0.6,0.6,164.95,4.45,1.65,83.0,58.0,,25.0,3.0,2.0,4.0,3.0,1,,,0,,,,0,1.0,0.3333333333333333
A000303,U00353,P001,2026-03-01,76.67012705357071,53.98564065892008,82.64927016372643,42,Research,Slot 5,1,0,accepted,student,Germany,UTC+1,Non-binary,UG,CS,8,0,French,Climate,Slot 5,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,19,19,62.47,38.15,3757,19,95,31,0.95,0.95,187.85,4.75,1.55,74.0,58.0,,16.0,3.0,2.0,4.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000310,U00363,P007,2026-03-01,60.13241373527605,46.244305396915294,100.0,65,Research,Slot 4,1,0,accepted,student,Kenya,UTC+3,Female,Masters,Climate,9,0,English,NLP,Slot 4,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,19,19,61.54,37.54,3959,19,117,26,0.95,0.95,197.95,5.85,1.3,68.0,43.0,,25.0,3.0,2.0,4.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000317,U00373,P003,2026-03-01,62.10303040221996,51.98393517177487,100.0,76,Research,Slot 2,1,0,accepted,student,Canada,UTC-5,Female,UG,Neuro,8,0,Hindi,RL,Slot 2,Computational Tools for Climate Science,2025,2025-06-22,2025-07-24,262,22,global,4.5,3,8,5,virtual,5,20,17,17,69.2,39.31,2972,17,86,32,0.85,0.85,148.6,4.3,1.6,64.0,48.0,,16.0,4.0,5.0,3.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000318,U00374,P002,2026-03-01,60.48191162945217,39.850311676822905,94.90817646614862,72,Research,Slot 5,1,0,accepted,student,UK,UTC+0,Non-binary,Masters,Climate,9,1,Spanish,Time Series,Slot 5,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,15,15,65.32000000000001,41.64,3843,15,107,26,0.75,0.75,192.15,5.35,1.3,73.0,49.0,,24.0,4.0,4.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000323,U00379,P003,2026-03-01,71.62259597505667,44.60408779262868,91.6757010580099,50,Research,Slot 1,1,0,accepted,student,Japan,UTC+9,Non-binary,PhD,Climate,8,0,English,Neural Coding,Slot 1,Computational Tools for Climate Science,2025,2025-06-22,2025-07-24,262,22,global,4.5,3,8,5,virtual,5,20,17,17,63.59,41.42,3571,17,82,23,0.85,0.85,178.55,4.1,1.15,68.0,57.0,,11.0,5.0,2.0,5.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000324,U00380,P002,2026-03-01,56.30170911455488,46.72063477622495,98.94910556026824,57,Research,Slot 3,1,0,accepted,student,UK,UTC+0,Non-binary,UG,Neuro,8,0,Hindi,Neural Coding,Slot 3,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,17,17,65.39,39.04,3302,17,94,23,0.85,0.85,165.1,4.7,1.15,72.0,53.0,,19.0,5.0,3.0,4.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000328,U00384,P001,2026-03-01,50.91230329192027,66.84524834603451,98.2140064699176,48,Research,Slot 5,1,0,accepted,student,USA,UTC-5,Female,Masters,AI,8,0,Hindi,Climate,Slot 5,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,15,15,69.1,36.37,3809,15,73,28,0.75,0.75,190.45,3.65,1.4,75.0,68.0,,7.0,4.0,2.0,3.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000334,U00393,P007,2026-03-01,57.94715980503749,61.18549944255326,95.91093606255912,54,Research,Slot 4,1,0,accepted,student,Canada,UTC-5,Female,UG,Climate,9,0,Hindi,Climate,Slot 4,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,15,15,67.96,41.78,3429,15,114,28,0.75,0.75,171.45,5.7,1.4,65.0,48.0,,17.0,5.0,2.0,5.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000335,U00394,P005,2026-03-01,61.16562349241945,71.21023601532443,81.586103667417,65,Research,Slot 2,1,0,accepted,student,Canada,UTC-5,Non-binary,UG,Neuro,4,0,English,Neural Coding,Slot 2,Computational Neuroscience,2026,2026-06-22,2026-07-24,373,17,global,4.5,3,8,5,virtual,5,20,16,16,66.59,39.95,3227,16,102,30,0.8,0.8,161.35,5.1,1.5,68.0,55.0,,13.0,3.0,4.0,4.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000336,U00395,P008,2026-03-01,69.63906934075862,49.79901248230348,87.7179942049779,51,Research,Slot 4,1,0,accepted,student,UK,UTC+0,Male,PhD,CS,8,1,Hindi,NLP,Slot 4,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,17,17,60.68,42.83,3420,17,72,26,0.85,0.85,171.0,3.6,1.3,64.0,58.0,,6.0,4.0,3.0,3.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000338,U00398,P003,2026-03-01,59.42958833147058,61.839874431968894,81.44192211038842,75,Research,Slot 4,1,0,accepted,student,Brazil,UTC-3,Female,UG,Climate,5,0,English,NLP,Slot 4,Computational Tools for Climate Science,2025,2025-06-22,2025-07-24,262,22,global,4.5,3,8,5,virtual,5,20,15,15,64.13,41.87,3301,15,93,28,0.75,0.75,165.05,4.65,1.4,88.0,70.0,,18.0,3.0,5.0,4.0,5.0,1,,,0,1.0,1.29,3.0,1,1.0,0.3333333333333333
A000341,U00401,P006,2026-03-01,81.61224183166465,43.82512843841605,91.6257986673882,84,Research,Slot 3,1,0,accepted,student,Japan,UTC+9,Non-binary,PhD,Climate,8,0,French,Neural Coding,Slot 3,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,17,17,64.64,43.11,3944,17,85,29,0.85,0.85,197.2,4.25,1.45,73.0,52.0,,21.0,3.0,3.0,3.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000347,U00410,P007,2026-03-01,66.18725838104466,57.35341154197796,90.11778978650494,65,Research,Slot 2,1,0,accepted,student,Brazil,UTC-3,Non-binary,PhD,Neuro,7,0,English,Time Series,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,15,15,61.36,40.66,3432,15,108,21,0.75,0.75,171.6,5.4,1.05,84.0,56.0,,28.0,4.0,4.0,3.0,5.0,1,,,0,1.0,6.12,3.0,1,1.0,0.3333333333333333
A000348,U00411,P008,2026-03-01,69.91994826557635,46.33512019921935,90.61908104029996,64,Research,Slot 3,1,0,accepted,student,UK,UTC+0,Male,UG,Neuro,8,0,English,CV,Slot 3,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,17,17,66.87,40.46,3565,17,91,27,0.85,0.85,178.25,4.55,1.35,72.0,53.0,,19.0,3.0,3.0,5.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000349,U00412,P006,2026-03-01,68.78723413375775,68.184839875358,67.88216389598632,50,Research,Slot 4,1,0,accepted,student,Brazil,UTC-3,Non-binary,Masters,Climate,4,0,Spanish,Climate,Slot 4,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,15,15,65.25,38.25,3859,15,105,20,0.75,0.75,192.95,5.25,1.0,58.0,51.0,,7.0,4.0,5.0,4.0,3.0,1,9.0,time_constraint,1,,,,1,1.0,0.3333333333333333
A000366,U00437,P005,2026-03-01,74.88394677691429,61.11622151508709,61.95672307635306,50,Research,Slot 5,1,0,accepted,student,USA,UTC-5,Male,UG,Climate,2,0,English,CV,Slot 5,Computational Neuroscience,2026,2026-06-22,2026-07-24,373,17,global,4.5,3,8,5,virtual,5,20,17,17,70.52,40.85,3519,17,102,32,0.85,0.85,175.95,5.1,1.6,89.0,67.0,,22.0,5.0,5.0,5.0,3.0,1,11.0,low_engagement,1,,,,1,1.0,0.3333333333333333
